"","name","rank","playerid","state"
"1","Player Name","RankPlayer NamePlayer IDStateRanking PointsGrand Total","Player ID","State"
"2","Kartikey Gulshan Kumar","1","3600","DLI"
"3","Tharun M.","2","6109","TS"
"4","Siddhanth Gupta","3","7344","TN"
"5","Raghu M. ","4","4097","KTK"
"6","Alap Mishra","5","6659","MP"
"7","Mithun M. ","6","4010","RLY"
"8","Varun Kapur","7","10406","MAH"
"9","Ansal  Yadav","8","3272","UP"
"10","Harsheel Dani","9","2797","MAH"
"11","Jagadeesh K.","10","5833","AP"
"12","Abhishek Saini","11","7894","CHG"
"13","Rohan Gurbani","12","6057","MAH"
"14","Kaushal Dharmamer","13","3477","MAH"
"15","Bhargav S.","14","16354","KTK"
"16","Sourabh  Varma","15","909","PET"
"17","Kartik Jindal","16","5436","HAR"
"18","Aditya  Joshi","17","2537","UTR"
"19","Yash  Yogi","18","4383","CG"
"20","Rahul Yadav C.","19","1461","TS"
"21","Siddharth Pratap Singh","20","4720","CG"
"22","Saneeth D. S.","20","8730","KTK"
"23","Maisnam Meiraba","21","6925","AAI"
"24","Rithvik Sanjeevi S.","22","10962","TN"
"25","Arunesh H. ","23","3866","TN"
"26","Lakshay Sharma","24","10817","PNB"
"27","Arya Bhivpathaki","25","4765","MAH"
"28","Priyanshu Rajawat","26","5985","MP"
"29","Sai Charan Koya","27","11932","AP"
"30","Subhankar Dey","28","2312","RLY"
"31","Adithya Bapineedu G.","29","6108","TS"
"32","Bharat Raghav","30","13997","HAR"
"33","Daniel Farid S.","31","3217","KTK"
"34","Tarun Reddy K.","32","12991","TS"
"35","Chirag Seth","33","17809","UP"
"36","Sathish Kumar K.","34","12604","TN"
"37","Srikanth K. ","35","2526","AP"
"38","Bodhit  Joshi","36","2614","UTR"
"39","Ravi ,","36","15700","HAR"
"40","Kiran  George","37","3755","KER"
"41","Darshan Pujari","38","11530","MAH"
"42","Talar  Laa ","39","2681","ANP"
"43","Siddhartha Mishra","40","10417","UP"
"44","Pranav Rao Gandham","41","19053","TS"
"45","Abhishek  Yeligar","42","3212","KTK"
"46","Pranay Katta","43","10203","RAJ"
"47","Pruthvi Roy K.","43","11080","KTK"
"48","Harshal Bhoyar","44","17571","CG"
"49","Abhinav Thakur","45","13803","PNB"
"50","Arjun Rehani","46","17533","DLI"
"51","Dhruv Kumar","47","5626","DLI"
"52","Aryamann  Tandon","48","3483","GUJ"
"53","Rishabh Deshpande","49","4251","MAH"
"54","Abhyansh Singh","50","10413","UP"
"55","Sanskar Saraswat","51","18778","RAJ"
"56","Munawer Mohammed","52","5085","KER"
"57","Ansh Vishal Gupta","53","13544","UP"
"58","Shantanu Sharma","54","8125","UP"
"59","Sarath D.","54","12000","AP"
"60","Tukum  Laa ","55","3946","ANP"
"61","Govind K.","56","14141","KER"
"62","Chirag  Sen","57","2304","RLY"
"63","Rahul Bhardhvaj B. M. ","58","4182","AI"
"64","Prathmesh Kulkarni","59","25862","MAH"
"65","Shreyansh Jaiswal","60","2992","CG"
"66","Aditya Chouhan","60","5986","MP"
"67","Harsh Arora","61","4568","HAR"
"68","Manish Kumar ,","61","12005","TS"
"69","Manraj Singh","61","17621","HAR"
"70","Ansh  Negi","62","15871","UTR"
"71","Dhruv Negi","62","18288","UTR"
"72","Adheep Gupta","63","18446","GUJ"
"73","Manav Choudhary","64","17461","HAR"
"74","Sai Praneeth B. ","65","1565","PET"
"75","Bhawesh Pandey","65","12894","UTR"
"76","Harsh Chaplot","66","10182","RAJ"
"77","Hemanth M.G.","67","8004","KTK"
"78","Gautam Walia","68","14734","HAR"
"79","Sankar Muthusamy S.","69","9420","TN"
"80","Ayush  Shetty","69","13918","KTK"
"81","Rudraksh Swarnkar","70","7198","CG"
"82","Rushendra Thirupathi","70","12659","TS"
"83","Neer Nehwal","70","17823","UP"
"84","Pranay Shettigar","70","35861","MAH"
"85","Shubham Patel","71","15858","RAJ"
"86","Lokesh Reddy K.","72","18955","TS"
"87","Balraj Kajla","73","6884","HAR"
"88","Aditya Mondal","74","15699","WB"
"89","Paras Mathur","75","14618","HAR"
"90","Sohit Hooda","75","16231","HAR"
"91","Naren Iyer","76","7263","KTK"
"92","Ankit  Kumar","77","1777","UP"
"93","Kanishq M. ","77","2815","TS"
"94","Koushiik C.S.","78","6134","TN"
"95","Harshit  Aggarwal","79","3215","KTK"
"96","Dhruv Rawat","79","6262","UTR"
"97","Vishal Vasudevan","79","9405","TN"
"98","Anirudh J.","79","9724","TN"
"99","Chirag Sharma","79","20324","PNB"
"100","Asmit Agarwal","79","20712","WB"
"101","Aakash ,","79","26571","DLI"
"102","Abhay Pratap ","79","28167","UP"
"103","Kiran Kumar M.","80","4666","TS"
"104","Jaskaran Singh","81","18297","HAR"
"105","Sankalp Chandragurala","81","20592","MAH"
"106","Siddharth ,","82","4566","HAR"
"107","Swadhin Gouda","82","9717","ORI"
"108","Shubham  Gusain","82","12286","DLI"
"109","Tabrez MD.","82","12456","BHR"
"110","Vaibhav Jadhav","82","14729","DLI"
"111","Avdhesh Jat","82","18300","MP"
"112","Yeshbardhan ,","82","19338","BHR"
"113","Naveen S.","82","19372","PY"
"114","Vakul Sharma","82","21753","PNB"
"115","Samarveer ,","82","22313","CHG"
"116","Zuchopemo Odyuo","82","37228","NAG"
"117","Srikar Rajesh","83","8251","KTK"
"118","Siddhant Salar","83","9494","UP"
"119","Abhinn Vasisth","83","12260","HAR"
"120","Sathwik Reddy K.","83","14262","TS"
"121","Krishna Kinger","83","26572","DLI"
"122","Jacob Thomas","84","4654","KER"
"123","Ajay  Meena","84","7704","RAJ"
"124","Bidyasagar Salam","84","15204","MNP"
"125","Dhruv Bansal","84","22310","CHG"
"126","Nikhil S. Sriram","85","3990","KTK"
"127","Aakash Yadav","85","5333","DLI"
"128","Aditya Gupta","85","7716","TS"
"129","Ajay Satish Kumar Nair","85","15009","KER"
"130","Abhinaav K.","85","15622","TN"
"131","Aadithyan S.D","85","15774","KER"
"132","Pankaj ,","85","17625","HAR"
"133","Gagan ,","85","17761","HAR"
"134","Aditya Verma","85","17802","UP"
"135","Vighnesh Thathineni","85","18264","TS"
"136","Venkata Sai Himadeep Amanchi","85","18648","AP"
"137","Manish Phogat","85","19316","RAJ"
"138","Rishaank ,","85","43021","UP"
"139","Saurav  Kapoor","86","644","RBI"
"140","Vipul  Saini","86","866","J&K"
"141","Prannoy H. S. ","86","1899","PET"
"142","Bhaskar Chkraborty","86","2722","RBI"
"143","Gaurav Parmar ","86","3542","CAG"
"144","Orijit Chaliha","86","4436","ASM"
"145","Kevin Wong C.C","86","4452","CHG"
"146","Ayan  Rashid","86","7949","ASM"
"147","Mebanker Chullai","86","8198","MEG"
"148","Rituraj Nag","86","8199","MEG"
"149","Karan Choudhary","86","9597","HP"
"150","Sidarth T.","86","9635","TN"
"151","Subhodeep Mondal","86","9881","WB"
"152","Leihong Konyak","86","10691","NAG"
"153","Himanish Das","86","11905","ASM"
"154","Ankit Mondal","86","12238","WB"
"155","Soumyadeep Saha","86","13047","TPR"
"156","Bishalaksha Podder","86","13048","TPR"
"157","Hemachandran S.","86","15586","PY"
"158","Riku Khape","86","16085","NAG"
"159","Umakant Sarge","86","17396","GOA"
"160","Harjeev Singh","86","18250","HAR"
"161","Uttam Jindal","86","19694","SKM"
"162","Ayush  Makhija","86","20630","CG"
"163","Lalhruaitluanga Joseph ","86","23299","MIZ"
"164","Karan Dhavaskar ","86","24597","GOA"
"165","Nimtenzing Sherpa","86","25777","SKM"
"166","Shubham Senger","86","27949","UP"
"167","Priyanshu Tirkey","86","30620","JAR"
"168","Saitluangpuia Sailo","86","30691","MIZ"
"169","M. Anshad","86","31941","A&N"
"170","Bhavya Sharma","86","32403","J&K"
"171","Ritesh Kumar","86","34406","BHR"
"172","Balwant ,","86","48451","A&N"
"173","Bikon Boje","86","48644","ANP"
"174","Siddharath Thakur","87","2870","MAH"
"175","Gopalakrishna Reddy D.","87","4662","TS"
"176","Aman  Kumar","87","4788","HAR"
"177","Rohit Singh","87","6022","CG"
"178","Rohith M.","87","6399","KTK"
"179","Sanjay Thakur","87","6485","MP"
"180","Rhitvik Mohanty","87","6536","PNB"
"181","Iman Sonowal","87","7242","ASM"
"182","Jaiditya Pratap Singh","87","8960","CG"
"183","Abilash B.","87","9686","KTK"
"184","Parth Mehata","87","10180","RAJ"
"185","Charan Naik Kelavathu","87","10340","AP"
"186","Tushar Suveer","87","10480","KTK"
"187","Sabreeshwaran H.","87","10686","TN"
"188","Anishraj R.","87","11672","TN"
"189","Shashaank Sai M.","87","12293","TS"
"190","Siddhartha Turaga","87","12501","TS"
"191","Kavin Thangam","87","12868","TN"
"192","Yash Shah","87","13182","MAH"
"193","Shivam Mehta","87","13943","UTR"
"194","Mayank Choudhary","87","14913","DLI"
"195","Aarush Srivastav","87","15270","UP"
"196","Rajan Yadav","87","15271","UP"
"197","Jeshwin Arul J.","87","15634","TN"
"198","Rounak Chouhan","87","15870","CG"
"199","Mamik Guleria","87","15880","CHG"
"200","Wasim  Shaikh","87","15918","MAH"
"201","Numair Shaik","87","16082","AP"
"202","Sanjay S. Nair","87","16398","KER"
"203","Abhinay Sairam Ganta","87","16537","TS"
"204","Manoj D.N.","87","16824","TN"
"205","Ayush Raj Gupta","87","16982","UP"
"206","Aditya Das","87","17124","CG"
"207","Sataksh Singh","87","17482","DLI"
"208","Prajwal Sonawane","87","17575","MAH"
"209","Saahas Kumar Potipi Reddi","87","17953","TS"
"210","Vaasu Himmatramka","87","18043","DLI"
"211","Nikhil Chetry","87","18292","ANP"
"212","Akash Singh ,","87","18451","UP"
"213","Aruj Maheshwari","87","18810","KTK"
"214","Aryan Shetty","87","18953","MAH"
"215","Sahil Sharma","87","18957","DLI"
"216","Sathyamoorthy V.","87","20080","TN"
"217","Harshit Thakur","87","20217","CG"
"218","Shashwat Dalal","87","20577","HAR"
"219","Rudra Shahi","87","20584","KTK"
"220","Vedant Sharma","87","21205","RAJ"
"221","Suveer Pradhan","87","21369","MAH"
"222","Aman Suresh S.M.","87","21793","KER"
"223","Nandivardha Mummana","87","22002","AP"
"224","Surya  Pratap Singh","87","22033","UP"
"225","Abhishek Mondalika Venkat","87","22443","CG"
"226","Uma Maheswar Reddy Gopireddy","87","22793","AP"
"227","Khiruthic C.","87","23355","TN"
"228","Harshit Tomar","87","24671","UP"
"229","Gnana Harsha Jetty","87","25065","AP"
"230","Neetha A.","87","25334","TS"
"231","Akarshit Sharma","87","26117","PNB"
"232","Venkata Sai Harshit Tummala","87","26683","TS"
"233","Arv Nagpal","87","26739","DLI"
"234","Nishnat Galande","87","30194","MAH"
"235","Bharadwaj Balasubramanian","87","30457","TN"
"236","Ginpaul S.","87","31852","DLI"
"237","Vipransh Singh","87","31959","UP"
"238","Raghvender ,","87","31993","DLI"
"239","Sree Yashwanth A. S.","87","33257","TN"
"240","Player Name","RankPlayer NamePlayer IDStateRanking PointsGrand Total","Player ID","State"
"241","Akshan Shetty","1","5207","MAH"
"242","Deep Rambhiya","1","6123","MAH"
"243","Prakash Raj S.","2","12020","KTK"
"244","Ruban Kumar R.","3","16770","TN"
"245","Hariharan Amsakarunan","3","30079","TN"
"246","Pruthvi Roy K.","4","11080","KTK"
"247","Kushal Raj S. ","5","16364","KTK"
"248","Suraj Goala","6","18860","ASM"
"249","Gouse Shaik ","7","13614","AP"
"250","Nithin H.V. ","8","11082","KTK"
"251","Manjit Singh Khwairakpam","9","13312","MNP"
"252","Dingku Sing Konthoujam","9","15202","MNP"
"253","Siddarth Elango","10","5804","TS"
"254","Sankarprasad Udayakumar","11","7254","KER"
"255","Achutaditya Rao Doddavarapu","12","8594","TS"
"256","Venkata Harsha Vardhan Rayudu V.","12","21644","AP"
"257","Ravikrishna P.S.","13","20770","KER"
"258","Anjan Buragohain","14","4532","ASM"
"259","Ranjan Buragohain","14","4533","ASM"
"260","Lokesh V. ","15","3971","TN"
"261","Viplav Kuvale","16","7660","MAH"
"262","Viraj Kuvale","16","7662","MAH"
"263","Hemanagendra Babu T. ","17","2924","RLY"
"264","Vaibhaav .","18","11728","KTK"
"265","Naveen P.","19","15375","TN"
"266","Sanjai Srivatsa D.","20","4508","PY"
"267","Sanyam Shukla","21","2892","AI"
"268","Yash  Raikwar","22","4053","MP"
"269","Mohammad Amaan ","22","20544","RAJ"
"270","Ayush  Pattnayak","23","13536","ORI"
"271","Abinash Mohanty","23","26467","ORI"
"272","Dhruv Rawat","24","6262","UTR"
"273","Tushar Sharma","25","6253","CAG"
"274","Arun  George","26","2469","AI"
"275","Brijesh Yadav","27","8500","UP"
"276","Sai Pratheek K.","28","4255","KTK"
"277","Vishnu SreeKumar","29","19011","KER"
"278","Rohit Jayakumar R.","29","19012","KER"
"279","Shivam  Sharma","30","2542","RBI"
"280","Kabir  Kanzarkar","31","4331","RLY"
"281","Vinay Kumar Singh","32","6330","CAG"
"282","Chirag  Sen","33","2304","AAI"
"283","Chayanit Joshi","34","6263","UTR"
"284","Akshit  Mahajan","35","1567","HAR"
"285","Kaustubh Rawat","36","2683","DLI"
"286","Swarnaraj Bora","36","3948","DLI"
"287","Bennet  Antony","37","1553","KER"
"288","Ashith Surya","38","6992","KTK"
"289","Mohanraj E.","38","22373","TN"
"290","Kishal G.","39","12774","KTK"
"291","Chandra Gopinadh P.","39","19627","AP"
"292","Pratik Ranade","40","12935","MAH"
"293","Tarun K. ","41","831","PET"
"294","Sangram Chutia","41","3124","ASM"
"295","Sai Pavan Karri","42","7477","AP"
"296","Harsh  Rana","43","15819","DLI"
"297","Hardik Makkar","44","5435","HAR"
"298","Shubham Patel","45","15858","RAJ"
"299","Iman Sonowal","46","7242","ASM"
"300","Ishaan Bhatnagar","46","8959","AI"
"301","Shashank  H.N.","46","15177","KTK"
"302","Vasantha Kumar H. R.","47","5837","KTK"
"303","Mauryan K.","47","12211","TN"
"304","Santhosh Gajendran","47","21885","TN"
"305","Sujey Tamboli","48","10627","CG"
"306","Arjunkrishnan Rajaram","48","22395","TN"
"307","Ayush Agarwal","49","23931","UP"
"308","Akshay Raut","50","8695","RLY"
"309","Aravind.V. Suresh","50","12208","KER"
"310","Ayush  Makhija","51","20630","CG"
"311","Sumeeth Reddy B.","52","1570","TS"
"312","Abhishek Saini","53","7894","HAR"
"313","Abhinav Thakur","53","13803","PNB"
"314","Diju V. ","54","63","PET"
"315","Rupesh Kumar K. T.","54","99","PET"
"316","Nitin Kumar","55","8872","DLI"
"317","Tushar Gagneja","56","17393","UP"
"318","Aman Nandal ","56","17794","HAR"
"319","Shubham Patil","57","17710","MAH"
"320","Shiva Sankar E.J.","57","20764","KER"
"321","Chirag  Shetty","58","3476","MAH"
"322","Dhruv  Kapila","58","4371","AI"
"323","Venket Gaurav Prasad","58","8325","CG"
"324","Vedant Sharma","58","21205","RAJ"
"325","Chandra Kumar D. ","59","3473","AP"
"326","Nanda Gopal K. ","60","1822","CAG"
"327","Abhyuday Choudhary","60","24835","RAJ"
"328","Zhakuo Seyie","61","8470","NAG"
"329","Keerthi Sasank Ayyagari Phani","61","8586","TS"
"330","Manish Kumar ,","61","12005","TS"
"331","Shubham Sharma","61","25550","UP"
"332","Himanshu Mittal","61","26736","UP"
"333","Rudraksh Swarnkar","62","7198","CG"
"334","Kush Chugh","63","8310","HAR"
"335","Jaiditya Pratap Singh","64","8960","CG"
"336","Uneeth Krishna B.V.","64","14970","TS"
"337","Varshith Reddy B.","64","16943","TS"
"338","Shashank Chhetri","64","17763","UTR"
"339","Vighnesh Thathineni","64","18264","TS"
"340","Vighnesh Devlekar","65","3981","MAH"
"341","Sudhish Venkant G.","65","5040","TS"
"342","Vikas  Yadav","65","5334","GOA"
"343","Hari Bharathi B.","65","14054","TN"
"344","Numair Shaik","65","16082","AP"
"345","Eshaan Duggal","65","17544","DLI"
"346","Kamal Krishnan S.","65","18053","KER"
"347","Bharath Sanjai S.","65","19048","TN"
"348","Saravanan K.","65","31174","TN"
"349","Purushothaman N.","65","31252","TN"
"350","Adhin K. Ajay","65","37634","KER"
"351","Love Kumar","66","2209","PNB"
"352","Sonam Tamang","66","7228","ANP"
"353","Rajat Saini","66","7893","HAR"
"354","Anurag Kumar ,","66","12907","JAR"
"355","Saksham Gupta","66","14661","JAR"
"356","Vanlalringngheta Joseph","66","15686","MIZ"
"357","Riku Khape","66","16085","NAG"
"358","Chau Kiyon Manpang","66","28915","ANP"
"359","Saitluangpuia Sailo","66","30691","MIZ"
"360","Rohenkumar Singh Haobijam","66","31984","MNP"
"361","Alen Singh Rajkumar","66","35484","MNP"
"362","Mayank Rana","67","12725","HAR"
"363","Divyam Arora","67","25872","UP"
"364","Prabhjeet Singh Chhabra","68","22056","CG"
"365","Abhishek Mondalika Venkat","68","22443","CG"
"366","Chaitanya Reddy K.","69","2382","RLY"
"367","Shyam  Prasad","69","2868","KER"
"368","Kartik Jindal","69","5436","HAR"
"369","Vimalraj A.","69","5820","TN"
"370","Ajinkya Patharkar","69","7788","MAH"
"371","Navin Prasanth E.","69","7905","TN"
"372","Edwin Joy ","69","12206","KER"
"373","Balkeshwari Yadav","69","15269","UP"
"374","Arya Thakore","69","19174","MAH"
"375","Dhruv Thakore","69","19175","MAH"
"376","Arsh Mohammad","69","26406","UP"
"377","Sangeeth Das","70","5103","KER"
"378","Lokeshwaran R.","70","5782","PY"
"379","Nicholas Nathan Raj","70","9885","KTK"
"380","Tushar Suveer","70","10480","KTK"
"381","Mohamed Arfin Shah S.","70","11790","TN"
"382","Kathiravun C.M.","70","13711","TN"
"383","Arryan Aji. R","70","15011","KER"
"384","Meharpreet Singh Sawhney","70","15927","DLI"
"385","Pankaj ,","70","17625","HAR"
"386","Aryan Hooda","70","17795","HAR"
"387","Vinay Aranipadath","70","18049","KER"
"388","Krish Desai","70","33895","MAH"
"389","Vipul  Saini","71","866","J&K"
"390","Dibyajyoti  Borah","71","1116","ASM"
"391","Arjun Kumar Reddy M.","71","1993","CAG"
"392","Yuvaraj ,","71","2630","PY"
"393","Keifer  Shullai","71","2780","MEG"
"394","Rajat  Kang","71","2902","HP"
"395","Piyush  Bobade","71","4049","MP"
"396","Aman Raikwar","71","4054","MP"
"397","Aditya Mhatre","71","4106","MAH"
"398","Krishna Prasad G.","71","4216","AP"
"399","Nihar  Kelkar","71","4301","MAH"
"400","Purushottam  Awate","71","4310","GUJ"
"401","Himanshu Tiwari","71","5183","UTR"
"402","Tejan Fallary","71","6425","GOA"
"403","Vishnuvardhan Goud P.","71","6669","TS"
"404","Varaprasad Kanakala","71","7411","AP"
"405","Shreesh Bisht","71","7937","UTR"
"406","Ayan  Rashid","71","7949","ASM"
"407","Ayad Rashid","71","8149","ASM"
"408","Rituraj Nag","71","8199","MEG"
"409","Srikar Madina","71","8601","TS"
"410","Karan Choudhary","71","9597","HP"
"411","Navyaranjan Das","71","9989","ASM"
"412","Ankit Mondal","71","12238","WB"
"413","Aryan Pratap","71","12381","BHR"
"414","Tabrez MD.","71","12456","BHR"
"415","Soumyadeep Saha","71","13047","TPR"
"416","Arjun Fallary","71","15259","GOA"
"417","Sohail Ahmed","71","18625","UTR"
"418","Samaksh Dhalta","71","19019","HP"
"419","Bhavin Jadhav","71","19312","GUJ"
"420","Laldintluanga Tlau","71","19380","MIZ"
"421","Siddharth Gupta","71","19696","SKM"
"422","Asmit Agarwal","71","20712","WB"
"423","Amlan Keshari Garnaik","71","25412","ORI"
"424","Nakul Vaid","71","26902","J&K"
